;total_crimes;renda_media;idh_medio;taxa_de_analfabetismo(%);esperança_vida;crimes_porhab(100K);crimes_renda;crimes_educ;esperança_vida_renda
0;156;3341.2;0.81;2.22;76.37;6.737031214911296;0.04668981204357716;70.27027027027026;0.48955128205128207
1;2808;1305.202;0.695;3.881;75.297;147.37101755803914;2.1513911256648397;723.5248647255862;0.02681517094017094
2;2808;1495.46;0.715;3.599;75.464;284.1800373644123;1.8776831209126288;780.2167268685746;0.026874643874643875
3;13416;1150.62;0.673;4.88;74.831;852.2440329895178;11.659800803045316;2749.1803278688526;0.005577742993440668
4;4680;1603.2;0.712;4.643;76.479;568.587024795497;2.9191616766467066;1007.9689855696748;0.016341666666666668
5;6864;1268.97;0.695;5.377;75.285;779.6190497824927;5.409111326508901;1276.5482611121445;0.010968094405594405
6;7800;1361.88;0.702;4.37;75.669;659.4320768052376;5.727376861397479;1784.8970251716246;0.009701153846153845
7;9048;843.58;0.63;9.845;73.209;1315.2673054028007;10.725716588823822;919.0452006094464;0.008091180371352785
8;2808;1500.4;0.714;3.975;75.982;255.1451546953796;1.8715009330845107;706.4150943396227;0.02705911680911681
9;3588;1487.99;0.707;5.203;75.607;671.2715244673606;2.4113065275976315;689.6021526042667;0.021072185061315495
10;12012;663.03;0.623;11.76;72.734;841.4976303981562;18.116827292882675;1021.4285714285714;0.006055111555111555
11;15132;981.79;0.654;6.877;73.946;880.6070904816221;15.41266462278084;2200.3780718336484;0.004886730108379593
12;9516;1031.53;0.671;5.157;74.462;1298.6321784022566;9.225131600632071;1845.258871436882;0.007824926439680538
13;8112;830.4;0.638;10.375;73.272;1203.6019033290454;9.76878612716763;781.8795180722891;0.009032544378698226
14;9360;714.86;0.607;16.033;72.472;1133.6426627522083;13.093472847830345;583.7959209131167;0.007742735042735042
15;2652;1026.213;0.675;7.021;74.161;702.3695703415709;2.5842588234606265;377.72397094430994;0.027964177978883863
16;11232;1238.88;0.691;5.181;75.33;1097.3550928531233;9.066253390158852;2167.9212507237985;0.006706730769230769
17;8580;1420.186;0.707;5.057;75.911;776.245793073499;6.041462174672895;1696.6580976863752;0.008847435897435897
18;2496;1226.99;0.698;3.885;74.663;576.2970146152247;2.034246407876185;642.4710424710426;0.029913060897435895
